jim.ns.cloudflare.com	108.162.193.125 172.64.33.125 173.245.59.125 
emily.ns.cloudflare.com	173.245.58.155 172.64.32.155 108.162.192.155 
leif.ns.cloudflare.com	162.159.44.222 108.162.195.222 172.64.35.222 
serenity.ns.cloudflare.com	172.64.34.108 162.159.38.108 108.162.194.108 
sam.ns.cloudflare.com	173.245.59.141 108.162.193.141 172.64.33.141 
ns30.domaincontrol.com	173.201.72.15 
ned.ns.cloudflare.com	108.162.193.210 173.245.59.210 172.64.33.210 
harvey.ns.cloudflare.com	162.159.44.152 108.162.195.152 172.64.35.152 
evelyn.ns.cloudflare.com	108.162.194.213 162.159.38.213 172.64.34.213 
fay.ns.cloudflare.com	173.245.58.115 172.64.32.115 108.162.192.115 
ns49.domaincontrol.com	97.74.104.25 
vida.ns.cloudflare.com	108.162.192.236 172.64.32.236 173.245.58.236 
ns59.domaincontrol.com	97.74.100.31 
ns60.domaincontrol.com	173.201.68.31 
grace.ns.cloudflare.com	108.162.192.159 172.64.32.159 173.245.58.159 
ns67.domaincontrol.com	97.74.103.44 
hayes.ns.cloudflare.com	162.159.44.245 108.162.195.245 172.64.35.245 
albert.ns.cloudflare.com	108.162.193.58 173.245.59.58 172.64.33.58 
marjory.ns.cloudflare.com	173.245.58.193 108.162.192.193 172.64.32.193 
mark.ns.cloudflare.com	173.245.59.130 108.162.193.130 172.64.33.130 
rafe.ns.cloudflare.com	172.64.32.216 173.245.58.216 108.162.192.216 
guy.ns.cloudflare.com	172.64.33.173 108.162.193.173 173.245.59.173 
tani.ns.cloudflare.com	173.245.58.224 108.162.192.224 172.64.32.224 
hadlee.ns.cloudflare.com	108.162.194.67 172.64.34.67 162.159.38.67 
clay.ns.cloudflare.com	173.245.59.88 108.162.193.88 172.64.33.88 
pola.ns.cloudflare.com	173.245.58.214 108.162.192.214 172.64.32.214 
aragorn.ns.cloudflare.com	172.64.33.67 108.162.193.67 173.245.59.67 
frank.ns.cloudflare.com	173.245.59.166 172.64.33.166 108.162.193.166 
ns35.domaincontrol.com	97.74.107.18 
seth.ns.cloudflare.com	173.245.59.142 172.64.33.142 108.162.193.142 
raegan.ns.cloudflare.com	108.162.194.158 172.64.34.158 162.159.38.158 
dana.ns.cloudflare.com	108.162.192.105 172.64.32.105 173.245.58.105 
beau.ns.cloudflare.com	173.245.59.73 172.64.33.73 108.162.193.73 
mallory.ns.cloudflare.com	162.159.38.83 108.162.194.83 172.64.34.83 
ns40.domaincontrol.com	173.201.77.20 
rory.ns.cloudflare.com	162.159.44.166 108.162.195.166 172.64.35.166 
dolly.ns.cloudflare.com	108.162.192.98 172.64.32.98 173.245.58.98 
ben.ns.cloudflare.com	172.64.33.103 108.162.193.103 173.245.59.103 
addyson.ns.cloudflare.com	108.162.194.68 172.64.34.68 162.159.38.68 
arnold.ns.cloudflare.com	108.162.193.69 173.245.59.69 172.64.33.69 
pdns01.domaincontrol.com	97.74.110.50 
eoin.ns.cloudflare.com	162.159.44.86 108.162.195.86 172.64.35.86 
norm.ns.cloudflare.com	172.64.33.134 108.162.193.134 173.245.59.134 
hank.ns.cloudflare.com	108.162.193.116 172.64.33.116 173.245.59.116 
adrian.ns.cloudflare.com	172.64.32.57 173.245.58.57 108.162.192.57 
ns-cloud-c1.googledomains.com	216.239.32.108 
meadow.ns.cloudflare.com	172.64.34.51 108.162.194.51 162.159.38.51 
cass.ns.cloudflare.com	108.162.192.81 173.245.58.81 172.64.32.81 
jasper.ns.cloudflare.com	108.162.195.182 162.159.44.182 172.64.35.182 
harlan.ns.cloudflare.com	172.64.35.250 162.159.44.250 108.162.195.250 
lily.ns.cloudflare.com	108.162.192.130 172.64.32.130 173.245.58.130 
ryleigh.ns.cloudflare.com	162.159.38.198 108.162.194.198 172.64.34.198 
wally.ns.cloudflare.com	108.162.192.239 173.245.58.239 172.64.32.239 
nikon.ns.cloudflare.com	162.159.44.176 108.162.195.176 172.64.35.176 
malavika.ns.cloudflare.com	172.64.34.165 108.162.194.165 162.159.38.165 
ines.ns.cloudflare.com	173.245.58.164 108.162.192.164 172.64.32.164 
elisabeth.ns.cloudflare.com	108.162.194.224 162.159.38.224 172.64.34.224 
kayleigh.ns.cloudflare.com	172.64.34.92 108.162.194.92 162.159.38.92 
tim.ns.cloudflare.com	108.162.193.145 173.245.59.145 172.64.33.145 
aarav.ns.cloudflare.com	108.162.195.60 162.159.44.60 172.64.35.60 
maria.ns.cloudflare.com	172.64.32.192 173.245.58.192 108.162.192.192 
tia.ns.cloudflare.com	108.162.192.229 172.64.32.229 173.245.58.229 
nero.ns.cloudflare.com	172.64.35.28 162.159.44.28 108.162.195.28 
amir.ns.cloudflare.com	108.162.193.62 173.245.59.62 172.64.33.62 
ruth.ns.cloudflare.com	108.162.192.143 173.245.58.143 172.64.32.143 
mimi.ns.cloudflare.com	172.64.32.203 108.162.192.203 173.245.58.203 
irma.ns.cloudflare.com	172.64.32.166 173.245.58.166 108.162.192.166 
romina.ns.cloudflare.com	162.159.38.159 172.64.34.159 108.162.194.159 
jake.ns.cloudflare.com	173.245.59.122 108.162.193.122 172.64.33.122 
lee.ns.cloudflare.com	108.162.193.129 172.64.33.129 173.245.59.129 
mira.ns.cloudflare.com	172.64.32.204 108.162.192.204 173.245.58.204 
milan.ns.cloudflare.com	108.162.195.21 172.64.35.21 162.159.44.21 
